Code,Name,Link
БАРАБИНСК,78.35117791932632,55.35505741121666
БАРАБУШКА,78.17142299115,55.338878022322575
БАРДИНО,87.34144281689989,53.93736926020682
БАРЗАС,86.27734657071626,55.74065238739415
БАРЛАК,83.21243379800971,55.1754884391581
БАРНАУЛ,83.75625473880613,53.351411728974085
БАРНАУЛ (ПЕРЕВ.),83.74494922780836,53.34204146499409
БАРЫШЕВО,83.18471220338631,54.95488832691474
БАСАНДАЙКА,85.48872931513498,56.282590733216416
БАТУННАЯ,84.97133711915282,53.73289898528152
БАТУРКИ,77.77098156875542,54.00753859833622
БАЮНОВО,84.31499448085961,53.28205381281658
БЕЗМЕНОВО,83.40452789346999,54.0842986644196
БЕЛОВО,86.31342412429733,54.411246815548374
БЕЛЫЙ ЯР,85.04216580811959,58.409472631259376
БЕРДСК,83.11429967793975,54.763395616626724
БЕРЕГОВАЯ,83.08738554206344,54.80866486183051
БЕРЕЗКИ,83.77226873994357,53.56547397666464
БЕРИКУЛЬСКАЯ,87.23063035512422,56.17103198686454
БЕШЕНЦЕВО,84.1995441756009,53.494919325969576
БИЙСК,85.17971536811343,52.53552345683079
БИЙСК (ЭКСП.),85.1832308451088,52.53590661590628
БИРЮЛИНСКАЯ,86.25058327585946,55.64371232712247
БЛОК-ПОСТ 48 КМ,86.02166009413912,56.05477976749665
БОГАШЕВО,85.14831643683978,56.367224720272674
БОЛОТНАЯ,84.39449027018266,55.667786536915294
БОЛЬШАЯ РЕЧКА,84.66601120572408,52.982157194411826
КОРШУНИХА-АНГАРСКАЯ,104.13144828582674,56.567215132082936
КОСТОМАРОВО,98.28185687649166,56.10337094500816
КОТИК,100.45734791229954,54.643072241349934
КУАНДА,116.07481887447628,56.32275919256923
КУАНДИНСКИЙ,116.23886137527516,56.34183644777845
КУЙТУН,101.5029399458482,54.32484265284696
КУЛТУК,103.722357,51.729218
КУЛТУК (ПЕРЕВ.),103.70848125178439,51.722473845041286
КУЛТУШНАЯ,106.1351808817503,51.89274873956655
КУНЕРМА,108.45121207340179,55.76337612919495
КУРЯТ,98.93949631115264,54.96460825702109
КУТА,105.32493857637152,56.769460905426115
КУТУЛИК,102.7564360998907,53.35896942251117
КЮХЕЛЬБЕКЕРСКАЯ,112.24367284747056,56.18133419353984
ЛАВРЕНТЬЕВО,98.10142977324442,55.89203070744268
ЛЕНА,105.74544115141934,56.78195357257847
ЛЕНА (ПЕРЕВ.),105.76296214792825,56.78965068992947
ЛЕНА-ВОСТОЧНАЯ,105.9683082554167,56.81882385789499
ЛЕПРИНДО,117.57553192024564,56.64051377065328
ЛЕСОВОЗНЫЙ (ПП),107.24956925202888,52.115960678671534
ЛЕСОКОМБИНАТ,108.07238406086748,51.92394102709997
ЛЕТНЯЯ,104.0751245577126,52.153873299030785
ЛОДЬЯ,115.16115960978621,56.32107365725198
ЛУЖКИ,103.59514735984276,52.77407321596111
МАЙСК,103.89916609829329,52.575486827569854
МАКАРЬЕВО,103.33571054492099,53.108011870414806
МАКАРЬЕВО (ПЕРЕВ.),103.34422692103699,53.108506686006635
МАЛЬТА,103.5227463823076,52.82608985271018
МАЛЬТИНКА,103.57572597347841,52.78952600237542
ГОРДЕЕВО,84.67441420635956,53.10942425675183
ГОРЬКООЗЕРНЫЙ,76.24540686242607,54.994706843502115
ГРАНИТ,84.6019997281411,55.14333976694272
ГРАНИЧНАЯ,73.273682,53.658565
ГРУЗДЕВКА,80.00453030158809,55.25212058759466
ГУРЬЕВСК,85.96556176116411,54.287955046367124
ГУСИНЫЙ БРОД,83.23544328727603,55.071254314876064
ГУСТАФЬЕВО,73.65552522529175,54.95284371467005
